"Path","Size","Lines"
"C:\매매전략\GUI\update_popup.py","7142","181"
"C:\매매전략\GUI\verify_all_modules.py","5362","134"
"C:\매매전략\GUI\websocket_manager.py","12379","344"
"C:\매매전략\GUI\__init__.py","0","0"
"C:\매매전략\locales\lang_manager.py","6129","189"
"C:\매매전략\locales\__init__.py","167","3"
"C:\매매전략\storage\secure_storage.py","7636","231"
"C:\매매전략\storage\state_storage.py","5501","140"
"C:\매매전략\storage\trade_history.py","6940","225"
"C:\매매전략\storage\trade_storage.py","7745","204"
"C:\매매전략\storage\__init__.py","269","5"
"C:\매매전략\strategies\example_strategy.py","6017","162"
"C:\매매전략\strategies\parameter_optimizer.py","15982","408"
"C:\매매전략\strategies\strategy_loader.py","6634","192"
"C:\매매전략\strategies\wm_pattern_strategy.py","6304","170"
"C:\매매전략\strategies\__init__.py","26","1"
"C:\매매전략\strategies\common\backtest_engine.py","5779","121"
"C:\매매전략\strategies\common\strategy_interface.py","4090","138"
"C:\매매전략\strategies\common\__init__.py","33","1"
"C:\매매전략\tools\compare_sim_vs_backtest.py","6992","191"
"C:\매매전략\tools\create_patch.py","2846","86"
"C:\매매전략\tools\minimal_test.py","783","27"
"C:\매매전략\tools\realtime_simulator.py","9288","227"
"C:\매매전략\tools\run_comparison.py","5475","135"
"C:\매매전략\tools\simple_test.py","1118","35"
"C:\매매전략\utils\bot_data_utils.py","1488","42"
"C:\매매전략\utils\data_utils.py","3186","98"
"C:\매매전략\utils\new_coin_detector.py","4120","111"
"C:\매매전략\utils\preset_manager.py","16245","447"
"C:\매매전략\utils\symbol_converter.py","4198","146"
"C:\매매전략\utils\__init__.py","168","2"
"C:\매매전략\_backup_2025\analyze_deps.py","3689","111"
"C:\매매전략\_backup_2025\analyze_losses.py","2393","60"
"C:\매매전략\_backup_2025\analyze_market_structure.py","4880","122"
"C:\매매전략\_backup_2025\analyze_mismatch_impact.py","3965","106"
"C:\매매전략\_backup_2025\analyze_mtf_impact.py","6998","175"
"C:\매매전략\_backup_2025\analyze_mtf_quality.py","7826","164"
"C:\매매전략\_backup_2025\analyze_mtf_timing.py","8513","222"
"C:\매매전략\_backup_2025\analyze_pattern_capture.py","7322","181"
"C:\매매전략\_backup_2025\analyze_position_time.py","1526","38"
"C:\매매전략\_backup_2025\analyze_profit_predictors.py","11819","290"
"C:\매매전략\_backup_2025\analyze_tf_overlap.py","3738","93"
"C:\매매전략\_backup_2025\analyze_total_profit.py","1323","38"
"C:\매매전략\_backup_2025\analyze_usage.py","4812","127"
"C:\매매전략\_backup_2025\analyze_wave_capture.py","10081","240"
"C:\매매전략\_backup_2025\analyze_wave_capture_v2.py","7969","190"
